ANO;CODIGO_RNT;COD_MUN;COD_DPTO;ESTADO_RNT;RAZON_SOCIAL_ESTABLECIMIENTO;DEPARTAMENTO;MUNICIPIO;CATEGORIA;SUB_CATEGORIA;HABITACIONES;CAMAS;NUM_EMP
2026;254.296;76364;76;ACTIVO;PARADISE TRIP;VALLE DEL CAUCA;JAMUNDI;AGENCIAS DE VIAJES;AGENCIA DE VIAJES Y DE TURISMO;0;0;0
2026;257.603;76364;76;ACTIVO;ARCILA OCAMPO YAZMIN;VALLE DEL CAUCA;JAMUNDI;VIVIENDAS TURÍSTICAS;APARTAMENTO TURÍSTICO;1;4;0
2026;257.883;76364;76;ACTIVO;FINCA LA LLANERITA 7;VALLE DEL CAUCA;JAMUNDI;VIVIENDAS TURÍSTICAS;FINCA TURISTICA (ALOJAMIENTO RURAL);4;10;0
2026;258.811;76364;76;ACTIVO;CASALUPA EVENTOS;VALLE DEL CAUCA;JAMUNDI;VIVIENDAS TURÍSTICAS;FINCA TURISTICA (ALOJAMIENTO RURAL);1;25;0
2026;258.996;76364;76;ACTIVO;HOTEL AZULADO COMO EL MAR;VALLE DEL CAUCA;JAMUNDI;ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO;HOTEL;8;20;2
2026;259.148;76364;76;ACTIVO;HUELLAS TOURS;VALLE DEL CAUCA;JAMUNDI;AGENCIAS DE VIAJES;AGENCIA DE VIAJES Y DE TURISMO;0;0;0
2026;259.876;76364;76;ACTIVO;AGENCIA DE VIAJES TRAVEL LUXE MONIK;VALLE DEL CAUCA;JAMUNDI;AGENCIAS DE VIAJES;AGENCIA DE VIAJES Y DE TURISMO;0;0;2
2026;259.992;76364;76;ACTIVO;DANIELA  CLAROS COPETE;VALLE DEL CAUCA;JAMUNDI;GUIAS DE TURISMO;GUIA DE TURISMO;0;0;1
2026;260.073;76364;76;ACTIVO;GRUPO FORESTAL AC S.A.S;VALLE DEL CAUCA;JAMUNDI;VIVIENDAS TURÍSTICAS;CASA TURÍSTICA;1;15;0
2026;260.305;76364;76;ACTIVO;VIAJANDO CON LILI TOURS;VALLE DEL CAUCA;JAMUNDI;AGENCIAS DE VIAJES;AGENCIA DE VIAJES OPERADORAS;0;0;0
2026;260.600;76364;76;ACTIVO;PALERMO ARAUJO JAIRO ANDRES;VALLE DEL CAUCA;JAMUNDI;VIVIENDAS TURÍSTICAS;CASA TURÍSTICA;1;3;0
2026;261.443;76364;76;ACTIVO;VIBRAS TRAVELS;VALLE DEL CAUCA;JAMUNDI;AGENCIAS DE VIAJES;AGENCIA DE VIAJES OPERADORAS;0;0;0
2026;263.393;76364;76;ACTIVO;ANGELA ROCIO OROZCO ZARATE;VALLE DEL CAUCA;JAMUNDI;VIVIENDAS TURÍSTICAS;FINCA TURISTICA (ALOJAMIENTO RURAL);1;3;0
2026;266.478;76364;76;ACTIVO;ATOMS & CO S.A.S.;VALLE DEL CAUCA;JAMUNDI;VIVIENDAS TURÍSTICAS;CASA TURÍSTICA;1;6;0
2026;267.106;76364;76;ACTIVO;POTES SANCHEZ JONATAN;VALLE DEL CAUCA;JAMUNDI;VIVIENDAS TURÍSTICAS;APARTAMENTO TURÍSTICO;5;4;0
2026;270.788;76364;76;ACTIVO;DANIEL  HINESTROZA CARDENAS;VALLE DEL CAUCA;JAMUNDI;VIVIENDAS TURÍSTICAS;CASA TURÍSTICA;1;8;0
2026;271.097;76364;76;ACTIVO;ALMA NÓMADA;VALLE DEL CAUCA;JAMUNDI;AGENCIAS DE VIAJES;AGENCIA DE VIAJES Y DE TURISMO;0;0;0
2026;273.122;76364;76;ACTIVO;BOSQUE EL DESCANSO AJ;VALLE DEL CAUCA;JAMUNDI;ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO;GLAMPING;5;5;1
2026;273.483;76364;76;ACTIVO;JETSTOUR;VALLE DEL CAUCA;JAMUNDI;AGENCIAS DE VIAJES;AGENCIA DE VIAJES Y DE TURISMO;0;0;0
2026;274.137;76364;76;ACTIVO;FUNDACIÓN COMUNIDAD TURISTICA DE SAN ANTONIO JAMUNDI;VALLE DEL CAUCA;JAMUNDI;VIVIENDAS TURÍSTICAS;FINCA TURISTICA (ALOJAMIENTO RURAL);12;250;0
2026;275.554;76364;76;ACTIVO;JEY JEY TOURS JAMUNDI;VALLE DEL CAUCA;JAMUNDI;AGENCIAS DE VIAJES;AGENCIA DE VIAJES OPERADORAS;0;0;1
2026;276.227;76364;76;ACTIVO;CONEXION MAYORISTA TRAVEL;VALLE DEL CAUCA;JAMUNDI;AGENCIAS DE VIAJES;AGENCIA DE VIAJES MAYORISTAS;0;0;1
2026;277.295;76364;76;ACTIVO;AGENCIA DE VIAJES Y SEGUROS S.A.S.;VALLE DEL CAUCA;JAMUNDI;AGENCIAS DE VIAJES;AGENCIA DE VIAJES Y DE TURISMO;0;0;1
2026;277.525;76364;76;ACTIVO;EQUIVIAJEROS CHAO PLASTICO DEL MAR;VALLE DEL CAUCA;JAMUNDI;AGENCIAS DE VIAJES;AGENCIA DE VIAJES Y DE TURISMO;0;0;0
